doc_cluster,doc_name
2,10001.txt
9,10002.txt
11,10003.txt
9,10004.txt
10,10005.txt
4,10006.txt
11,10007.txt
9,10008.txt
9,10009.txt
11,10010.txt
6,10011.txt
1,10012.txt
2,10013.txt
2,10014.txt
2,10015.txt
2,10016.txt
2,10017.txt
2,10018.txt
2,10019.txt
1,10020.txt
11,10021.txt
4,10022.txt
4,10023.txt
11,10024.txt
4,10025.txt
2,10026.txt
9,10027.txt
11,10028.txt
9,10029.txt
9,10030.txt
1,10031.txt
2,10032.txt
2,10033.txt
2,10034.txt
2,10035.txt
2,10036.txt
9,10037.txt
9,10038.txt
10,10039.txt
6,10040.txt
1,10041.txt
7,10042.txt
2,10043.txt
9,10044.txt
9,10045.txt
2,10047.txt
4,10048.txt
4,10049.txt
4,10050.txt
4,10051.txt
9,10052.txt
10,10056.txt
11,10057.txt
7,10058.txt
11,10059.txt
7,10060.txt
9,10062.txt
4,10063.txt
8,10064.txt
10,1jcfs10.txt
3,2babb10.txt
3,3babb10.txt
3,50bab10.txt
7,ajtl10.txt
7,allyr10.txt
7,alpsn10.txt
8,asyoulikeit.txt
8,balen10.txt
1,baleng2.txt
5,batlf10.txt
5,bgopr10.txt
3,brnte10.txt
9,bstjg10.txt
5,cambp10.txt
10,canbe10.txt
5,cantp10.txt
7,cfrz10.txt
10,crsnk10.txt
7,esbio10.txt
3,grybr10.txt
10,mklmt10.txt
3,morem10.txt
7,mspcd10.txt
0,penbr10.txt
7,pgjr10.txt
7,pntvw10.txt
10,prcpg10.txt
7,prhg10.txt
5,prhsb10.txt
10,rlsl110.txt
7,rlsl210.txt
10,rmlav10.txt
7,sesli10.txt
3,svyrd10.txt
7,tecom10.txt
7,utrkj10.txt
3,vpasm10.txt
5,wldsp10.txt
3,wtrbs10.txt
10,zncli10.txt
