color,word
#35892D,accept
#00E3E4,access
#482DBB,accord
#DAE19A,acknowledg
#B9E51F,act
#5AE43C,addit
#4E810B,address
#F7FB4F,admir
#36FEEB,affect
#2527C2,allow
#25CFB0,alter
#D2B0CB,amaz
#D6FEDA,answer
#454475,appear
#262F25,arrang
#1D2633,arriv
#C324E9,ask
#FD46F0,assist
#30D7D5,assur
#BEADF7,attempt
#C70F4E,attend
#AEAEE4,bear
#D0D23B,begin
#8B5A1C,believ
#F9EE00,breath
#7B8B58,care
#28BA46,carri
#9C463A,chang
#26ADAF,charg
#D96E55,check
#66FBD4,cheer
#DEBED2,clear
#63B1F9,close
#671D3B,come
#DD85E7,comfort
#F070F4,command
#39CC19,communic
#F09602,compar
#D4FB4C,complet
#7239B8,confid
#3D2C85,confirm
#CF00B0,consider
#94CB51,contain
#0B6361,content
#D54099,continu
#C60A50,convers
#E6C56D,copi
#95F3ED,cri
#C05362,damag
#9664E9,defect
#F175B0,delight
#43FA5E,depend
#38706F,deriv
#40D23F,desir
#DFE52F,determin
#F71A55,die
#0FA014,differ
#D7FDBF,direct
#3B6BA4,disclaim
#190B0A,discov
#9CC71D,display
#B5F17E,distribut
#4EEA8F,donat
#D0A2A0,doubt
#702494,dread
#73229C,drop
#B2E36E,employ
#DE9BE4,encourag
#094199,end
#6F5E83,engag
#431CE8,enjoy
#249F7B,enter
#9C2D9A,examin
#35856D,expect
#089E1F,express
#9C97DC,eye
#49BC6B,face
#EFEAF7,faint
#9AC231,fall
#1DAAB8,fear
#91A549,feel
#7EE148,fit
#83DB8E,follow
#7C6BBB,form
#E6ECB6,fortun
#DB5603,friend
#E84658,hand
#DF2339,hate
#D58793,head
#F52A52,help
#172EB7,hope
#8A80E4,hurri
#8F9C9D,imagin
#5CBE70,impress
#02D7BE,improv
#510171,includ
#230ACA,indic
#1F515F,inform
#B55C9A,kind
#ED1E2B,know
#DCF12A,laugh
#E00B9C,learn
#2D49CB,lie
#6C050F,light
#5E9778,like
#AEFF7B,listen
#9DCAF2,live
#08AAAD,look
#A30781,love
#1CB456,make
#96F3D0,manag
#62C737,mark
#0C9ADC,mean
#8F67BB,measur
#FFD32B,mind
#879D9D,murder
#4EC85C,natur
#ED0DED,need
#A8D115,object
#AA3AEA,oblig
#EDA538,observ
#BE503B,offer
#30840F,offic
#512EAE,open
#0359BE,order
#98142E,origin
#AAB637,pain
#2F599C,particular
#9BF2DC,pass
#CC247D,passion
#6BA5B1,perform
#4D228D,person
#1E0C9D,place
#0DE8D7,play
#2613B6,pleas
#C96C40,point
#FB6A04,possess
#12FD76,possibl
#8C355C,post
#FAF8E9,power
#59787A,practic
#E700CE,prepar
#08A5B7,present
#CE7E7B,preserv
#EF4F24,promis
#5FCB83,protest
#3A443F,provid
#7F7D7B,question
#4D0452,reach
#1C48D5,reason
#DDEA98,receiv
#83F6D7,reflect
#72D221,relat
#056AEF,remain
#8B3588,remark
#126061,remov
#91FC45,report
#9357EA,requir
#C03026,respect
#8D6AEE,return
#70C4D7,right
#96212A,run
#1C1190,save
#1F1BAF,say
#B30D0B,secret
#9433F0,secur
#232086,separ
#21CEDE,sever
#A56575,share
#3C93AA,slight
#C501E5,smile
#C18240,sound
#2DCF3F,state
#362FD1,stay
#5566CA,step
#128B02,struggl
#3AFAF7,studi
#42A277,success
#32AF2F,suffer
#C62E14,suggest
#2FAE69,talk
#B403B9,thank
#09D49F,think
#78CF8A,thought
#BE817D,travel
#5BD4CC,tri
#E78CC3,turn
#EB6FAB,use
#006F2B,utter
#B7A83E,view
#D9992B,visit
#2086E5,walk
#A8BA0D,want
#C91185,warn
#F7042B,watch
#44C23F,wish
#C4E4AF,wit
#0B45D2,wonder
#DCE775,work
#E3C1F6,write
